0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:41:47 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:41:47 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 5399
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:41:54 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:41:54 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 5399
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:42:04 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:42:04 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 5399
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:42:09 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:42:10 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 5399
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:42:49 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:42:50 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 6320
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:43:23 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:43:23 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 6341
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:43:24 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:43:24 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:45:51 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:45:51 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:45:55 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
